v	H	I	N	A	L
ad	0.27011	0.42241	0.08908	0.20690	0.01149
akad	0.32443	0.13860	0.07147	0.43567	0.02983
alakít	0.37808	0.38702	0.04698	0.17897	0.00895
állít	0.57395	0.31750	0.02578	0.08005	0.00271
átad	0.58745	0.36315	0.02403	0.02270	0.00267
átmegy	0.43441	0.18399	0.22147	0.11073	0.04940
beszél	0.72216	0.10915	0.06064	0.09813	0.00992
bevezet	0.08041	0.88454	0.00722	0.02371	0.00412
biztosít	0.14081	0.63364	0.08083	0.14211	0.00261
csatlakozik	0.29742	0.60405	0.07643	0.01013	0.01197
dolgozik	0.64614	0.24959	0.03612	0.05829	0.00985
dönt	0.19064	0.74695	0.01493	0.04613	0.00136
ébred	0.64545	0.24091	0.00909	0.05000	0.05455
elalszik	0.85321	0.05046	0.00459	0.05505	0.03670
elér	0.11443	0.67363	0.07065	0.13333	0.00796
elfárad	0.69663	0.22472	0.00562	0.01685	0.05618
elfelejt	0.83879	0.11587	0.01008	0.01511	0.02015
elindul	0.24743	0.40144	0.25257	0.07495	0.02361
elkészít	0.17597	0.77969	0.02861	0.01288	0.00286
elkezdődik	0.03704	0.26337	0.04938	0.64609	0.00412
elkövet	0.65499	0.33681	0.00447	0.00224	0.00149
elmarad	0.08246	0.10079	0.05628	0.75654	0.00393
elmúlik	0.03693	0.00591	0.01477	0.93944	0.00295
eltűnik	0.52028	0.09318	0.24849	0.07765	0.06040
elvesz	0.38530	0.48746	0.04122	0.08602	0.00000
emel	0.15400	0.72690	0.04312	0.07392	0.00205
énekel	0.72833	0.09056	0.01294	0.01164	0.15653
épít	0.26731	0.65192	0.03654	0.03077	0.01346
épül	0.00814	0.23202	0.69064	0.06649	0.00271
érdekel	0.25057	0.17460	0.22902	0.32653	0.01927
érint	0.09237	0.03414	0.09438	0.77108	0.00803
érkezik	0.25000	0.13506	0.11948	0.47662	0.01883
erősít	0.14451	0.28324	0.04624	0.51156	0.01445
ért	0.79633	0.09369	0.01629	0.06721	0.02648
fél	0.80471	0.11496	0.00831	0.02216	0.04986
felkel	0.84397	0.12057	0.00709	0.01418	0.01418
feltűnik	0.53419	0.14850	0.17521	0.08440	0.05769
figyelmeztet	0.57805	0.23263	0.02216	0.16012	0.00705
fogad	0.56320	0.27680	0.07360	0.06560	0.02080
