	v	H	I	N	A	L	KAT
0	ad	0.27011	0.42241	0.08908	0.2069	0.01149	0
1	akad	0.32443	0.1386	0.07147	0.43567	0.02983	1
2	alakít	0.37808	0.38702	0.04698	0.17897	0.00895	0
3	állít	0.57395	0.3175	0.02578	0.08005	0.00271	0
4	átad	0.58745	0.36315	0.02403	0.0227	0.00267	0
5	átmegy	0.43441	0.18399	0.22147	0.11073	0.0494	0
6	beszél	0.72216	0.10915	0.06064	0.09813	0.00992	0
7	bevezet	0.08041	0.88454	0.00722	0.02371	0.00412	0
8	biztosít	0.14081	0.63364	0.08083	0.14211	0.00261	0
9	csatlakozik	0.29742	0.60405	0.07643	0.01013	0.01197	0
10	dolgozik	0.64614	0.24959	0.03612	0.05829	0.00985	0
11	dönt	0.19064	0.74695	0.01493	0.04613	0.00136	0
12	ébred	0.64545	0.24091	0.00909	0.05	0.05455	0
13	elalszik	0.85321	0.05046	0.00459	0.05505	0.0367	0
14	elér	0.11443	0.67363	0.07065	0.13333	0.00796	0
15	elfárad	0.69663	0.22472	0.00562	0.01685	0.05618	0
16	elfelejt	0.83879	0.11587	0.01008	0.01511	0.02015	0
17	elindul	0.24743	0.40144	0.25257	0.07495	0.02361	0
18	elkészít	0.17597	0.77969	0.02861	0.01288	0.00286	0
19	elkezdődik	0.03704	0.26337	0.04938	0.64609	0.00412	1
20	elkövet	0.65499	0.33681	0.00447	0.00224	0.00149	0
21	elmarad	0.08246	0.10079	0.05628	0.75654	0.00393	1
22	elmúlik	0.03693	0.00591	0.01477	0.93944	0.00295	1
23	eltűnik	0.52028	0.09318	0.24849	0.07765	0.0604	0
24	elvesz	0.3853	0.48746	0.04122	0.08602	0.0	0
25	emel	0.154	0.7269	0.04312	0.07392	0.00205	0
26	énekel	0.72833	0.09056	0.01294	0.01164	0.15653	0
27	épít	0.26731	0.65192	0.03654	0.03077	0.01346	0
28	épül	0.00814	0.23202	0.69064	0.06649	0.00271	1
29	érdekel	0.25057	0.1746	0.22902	0.32653	0.01927	1
30	érint	0.09237	0.03414	0.09438	0.77108	0.00803	1
31	érkezik	0.25	0.13506	0.11948	0.47662	0.01883	1
32	erősít	0.14451	0.28324	0.04624	0.51156	0.01445	1
33	ért	0.79633	0.09369	0.01629	0.06721	0.02648	0
34	fél	0.80471	0.11496	0.00831	0.02216	0.04986	0
35	felkel	0.84397	0.12057	0.00709	0.01418	0.01418	0
36	feltűnik	0.53419	0.1485	0.17521	0.0844	0.05769	0
37	figyelmeztet	0.57805	0.23263	0.02216	0.16012	0.00705	0
38	fogad	0.5632	0.2768	0.0736	0.0656	0.0208	0
39	fordul	0.41169	0.29602	0.051	0.23134	0.00995	0
40	halad	0.19746	0.40531	0.18822	0.19746	0.01155	0
41	hall	0.95279	0.00858	0.01717	0.00858	0.01288	0
42	határoz	0.19808	0.75719	0.01278	0.03195	0.0	0
43	hisz	0.76554	0.08475	0.01977	0.09887	0.03107	0
44	hív	0.69293	0.1875	0.01902	0.0788	0.02174	0
45	hoz	0.26648	0.45702	0.04441	0.22779	0.0043	0
46	indít	0.17355	0.75702	0.03471	0.03306	0.00165	0
47	indokol	0.28066	0.4134	0.01138	0.29456	0.0	0
48	irányít	0.51847	0.37315	0.04803	0.05542	0.00493	0
49	iszik	0.86467	0.05556	0.0057	0.01425	0.05983	0
50	jelent	0.11285	0.1395	0.10815	0.61129	0.02821	1
51	jut	0.17997	0.25753	0.23494	0.31175	0.01581	1
52	kér	0.52049	0.43399	0.01366	0.0258	0.00607	0
53	kezdeményez	0.3435	0.63484	0.00886	0.01083	0.00197	0
54	kiegészít	0.19331	0.43123	0.17844	0.19331	0.00372	0
55	kikerül	0.41052	0.1845	0.15221	0.21771	0.03506	0
56	kimond	0.48577	0.21632	0.02846	0.26755	0.0019	0
57	kinyit	0.62824	0.25647	0.08235	0.01647	0.01647	0
58	kivált	0.1119	0.05654	0.08127	0.74794	0.00236	1
59	kötelez	0.08289	0.37701	0.03476	0.50535	0.0	1
