v	I	N
ad	63	37
akad	0	100
alakít	76	24
állít	99	1
átad	93	7
átmegy	37	63
beszél	85	15
bevezet	97	3
biztosít	84	16
csatlakozik	90	10
dolgozik	90	10
dönt	94	6
ébred	0	100
elalszik	0	100
elér	0	100
elfárad	0	100
elfelejt	0	100
elindul	63	37
elkészít	96	4
elkezdődik	0	100
elkövet	100	0
elmarad	0	100
elmúlik	0	100
eltűnik	0	100
elvesz	88	12
emel	92	8
énekel	95	5
épít	96	4
épül	0	100
érdekel	0	100
érint	0	100
érkezik	0	100
erősít	30	70
ért	0	100
fél	0	100
felkel	99	1
feltűnik	0	100
figyelmeztet	97	3
fogad	59	41
fordul	0	100
halad	0	100
hall	0	100
határoz	100	0
hisz	0	100
hív	96	4
hoz	75	25
indít	97	3
indokol	73	27
irányít	92	8
iszik	90	10
jelent	5	95
jut	0	100
kér	99	1
kezdeményez	99	1
kiegészít	62	38
kikerül	6	94
kimond	71	29
kinyit	73	27
kivált	7	93
kötelez	42	58
lakik	0	100
lát	0	100
leszáll	30	70
létezik	0	100
leül	91	9
megáll	44	56
megfelel	0	100
meghal	0	100
meghalad	0	100
megjegyez	94	6
megmarad	0	100
megnyílik	3	97
megöl	91	9
megszólal	92	8
megtalál	0	100
megtanul	28	72
megtud	0	100
megváltozik	0	100
mutat	9	91
nevez	95	5
néz	97	3
nő	0	100
örül	0	100
pihen	0	100
remél	0	100
siet	93	7
szán	0	100
szerez	19	81
szól	16	84
találkozik	83	17
telik	0	100
törődik	0	100
utazik	96	4
ül	0	100
választ	99	1
változik	0	100
visszaesik	0	100
visszajön	75	25
vonatkozik	0	100
zavar	5	95
