	v	I	N	KAT
0	ad	63	37	2
1	akad	0	100	0
2	alakít	76	24	1
3	állít	99	1	1
4	átad	93	7	1
5	átmegy	37	63	2
6	beszél	85	15	1
7	bevezet	97	3	1
8	biztosít	84	16	1
9	csatlakozik	90	10	1
10	dolgozik	90	10	1
11	dönt	94	6	1
12	ébred	0	100	0
13	elalszik	0	100	0
14	elér	0	100	0
15	elfárad	0	100	0
16	elfelejt	0	100	0
17	elindul	63	37	2
18	elkészít	96	4	1
19	elkezdődik	0	100	0
20	elkövet	100	0	1
21	elmarad	0	100	0
22	elmúlik	0	100	0
23	eltűnik	0	100	0
24	elvesz	88	12	1
25	emel	92	8	1
26	énekel	95	5	1
27	épít	96	4	1
28	épül	0	100	0
29	érdekel	0	100	0
30	érint	0	100	0
31	érkezik	0	100	0
32	erősít	30	70	2
33	ért	0	100	0
34	fél	0	100	0
35	felkel	99	1	1
36	feltűnik	0	100	0
37	figyelmeztet	97	3	1
38	fogad	59	41	2
39	fordul	0	100	0
40	halad	0	100	0
41	hall	0	100	0
42	határoz	100	0	1
43	hisz	0	100	0
44	hív	96	4	1
45	hoz	75	25	1
46	indít	97	3	1
47	indokol	73	27	1
48	irányít	92	8	1
49	iszik	90	10	1
50	jelent	5	95	0
51	jut	0	100	0
52	kér	99	1	1
53	kezdeményez	99	1	1
54	kiegészít	62	38	2
55	kikerül	6	94	0
56	kimond	71	29	1
57	kinyit	73	27	1
58	kivált	7	93	0
59	kötelez	42	58	2
60	lakik	0	100	0
61	lát	0	100	0
62	leszáll	30	70	2
63	létezik	0	100	0
64	leül	91	9	1
65	megáll	44	56	2
66	megfelel	0	100	0
67	meghal	0	100	0
68	meghalad	0	100	0
69	megjegyez	94	6	1
70	megmarad	0	100	0
71	megnyílik	3	97	0
72	megöl	91	9	1
73	megszólal	92	8	1
74	megtalál	0	100	0
75	megtanul	28	72	2
76	megtud	0	100	0
77	megváltozik	0	100	0
78	mutat	9	91	0
79	nevez	95	5	1
80	néz	97	3	1
81	nő	0	100	0
82	örül	0	100	0
83	pihen	0	100	0
84	remél	0	100	0
85	siet	93	7	1
86	szán	0	100	0
87	szerez	19	81	0
88	szól	16	84	0
89	találkozik	83	17	1
90	telik	0	100	0
91	törődik	0	100	0
92	utazik	96	4	1
93	ül	0	100	0
94	választ	99	1	1
95	változik	0	100	0
96	visszaesik	0	100	0
97	visszajön	75	25	1
98	vonatkozik	0	100	0
99	zavar	5	95	0
